record_id,collection_zone,district,ward_number,collection_date,collection_time,waste_source,collection_point_id,latitude,longitude,waste_category,sub_waste_type,waste_weight_kg,waste_volume_m3,moisture_content_pct,organic_content_pct,plastic_content_pct,metal_content_pct,glass_content_pct,paper_content_pct,hazardous_content_pct,contamination_level,odor_level,temperature_c,humidity_pct,rainfall_mm,air_quality_index,collection_frequency_days,bin_fill_level_pct,overflow_status,vehicle_type,vehicle_capacity_kg,distance_to_processing_km,travel_time_min,fuel_consumption_l,traffic_density,processing_facility,recycling_feasibility_score,compost_quality_score,energy_recovery_score,landfill_priority_score,resource_recovery_score,collection_priority_score,route_efficiency_score,operational_cost_usd,carbon_emission_kg,farmland_reuse_potential,management_decision
SWM_100000,West Zone,District_H,35,2025-02-04,23:09,Institutional,CP_6128,18.861663,95.570715,Mixed,Mixed Wet,590.96,7.26,18.26,15.6,4.65,43.31,24.04,42.48,0.31,9.7,8.32,23.73,33.64,22.01,194,8,44.34,No,Auto Tipper,10089,31.96,25,18.41,Low,Waste Processing Unit,29.12,61.19,13.95,29.21,36.64,45.61,78.52,151.82,64.14,Low,Energy Recovery
SWM_100001,Suburban Zone,District_C,49,2025-07-24,19:59,Residential,CP_3655,25.180022,69.347062,Organic,Food Waste,493.88,2.21,10.53,94.89,77.25,40.42,12.18,5.86,10.26,4.4,1.22,31.37,22.58,109.12,115,4,40.7,No,Mini Truck,1639,40.09,113,13.85,Moderate,Composting Facility,52.01,54.67,18.49,96.96,77.51,93.95,89.48,374.82,111.02,Low,Energy Recovery
SWM_100002,Urban Zone,District_C,48,2025-05-23,23:29,Market,CP_7850,10.566283,73.683503,Metal,Copper,55.28,4.04,38.04,27.13,66.3,17.84,11.24,32.56,2.11,8.02,0.75,44.65,77.92,23.85,34,5,20.44,Yes,Electric Vehicle,5820,49.11,178,28.86,Moderate,Recovery Center,72.9,77.13,7.4,35.85,11.59,86.31,62.33,225.3,12.31,Medium,Recycling
SWM_100003,Industrial Zone,District_C,10,2025-05-07,13:08,Industrial,CP_9572,17.018487,77.430316,Metal,Steel,589.09,7.72,80.41,47.22,9.57,35.66,30.43,33.68,11.56,4.94,5.23,29.54,21.91,12.95,344,6,22.51,No,Electric Vehicle,8583,38.55,58,13.95,Moderate,Composting Facility,50.86,90.76,24.93,41.04,75.56,22.88,7.7,202.26,23.54,High,Energy Recovery
SWM_100004,Urban Zone,District_A,21,2025-07-30,18:51,Institutional,CP_3936,34.961232,91.435491,Metal,Steel,514.05,10.48,73.31,18.66,71.4,26.97,32.3,53.77,4.77,1.1,2.28,29.53,81.35,103.29,270,2,20.56,Yes,Dump Truck,4074,31.13,56,17.86,High,Recycling Plant,22.21,11.99,33.76,94.29,32.32,51.88,70.3,243.63,116.75,Low,Composting
SWM_100005,Industrial Zone,District_B,4,2024-09-18,23:54,Market,CP_8679,35.910972,75.301687,Glass,Jar,407.85,3.75,29.21,3.69,48.77,25.13,2.06,16.72,13.62,2.4,1.45,31.22,93.92,29.05,64,6,73.77,Yes,Dump Truck,11302,45.94,8,11.03,Low,Transfer Station,72.82,36.78,63.23,63.35,53.58,9.03,83.53,219.64,26.45,Medium,Landfill
SWM_100006,Central Zone,District_F,40,2024-09-04,08:26,Institutional,CP_5173,9.182479,85.135895,Glass,Jar,548.5,0.4,48.53,22.65,51.61,8.72,27.64,23.2,14.05,1.38,3.41,21.06,89.35,105.28,69,10,40.64,Yes,Mini Truck,4546,39.94,76,33.05,Low,Transfer Station,55.52,52.97,24.19,9.31,89.72,90.04,63.31,229.86,45.16,Low,Recycling
SWM_100007,East Zone,District_G,22,2024-10-13,20:08,Market,CP_5542,29.052715,94.016198,Organic,Fruit Waste,711.93,9.4,59.57,8.41,12.93,44.93,24.26,0.55,1.52,6.64,0.05,22.34,61.16,83.03,137,3,72.16,Yes,Compactor Truck,4546,14.23,28,29.06,High,Composting Facility,23.72,32.54,74.65,64.96,84.92,65.76,56.83,92.46,47.29,High,Composting
SWM_100008,Urban Zone,District_A,21,2025-04-13,12:22,Residential,CP_1855,15.690869,75.0757,Plastic,HDPE,778.95,4.84,80.82,63.11,63.58,25.13,23.08,29.55,2.93,7.22,2.81,18.66,68.41,21.25,291,8,95.24,No,Electric Vehicle,6359,57.28,82,36.76,High,Recycling Plant,37.02,1.55,92.83,42.82,96.67,96.36,85.3,204.89,49.29,High,Recycling
SWM_100009,Suburban Zone,District_G,50,2024-11-24,08:05,Institutional,CP_8773,32.682963,77.190738,Metal,Iron,152.2,6.77,84.57,69.6,45.6,4.86,24.6,59.4,2.1,5.18,8.77,38.0,72.28,84.3,189,9,48.76,No,Auto Tipper,2281,18.32,159,32.76,Low,Composting Facility,81.01,86.71,91.32,51.13,50.15,79.83,65.0,433.1,96.52,Low,Recycling
SWM_100010,East Zone,District_G,36,2024-10-04,22:09,Institutional,CP_9029,33.810155,77.80186,Paper,Office Paper,312.95,1.31,54.15,3.59,37.25,27.13,11.46,35.45,0.46,0.37,8.23,27.73,29.53,62.67,91,9,81.6,No,Dump Truck,3916,13.73,11,25.67,Moderate,Waste Processing Unit,8.53,5.17,53.14,54.06,63.74,72.61,97.59,329.13,42.14,Low,Landfill
SWM_100011,Suburban Zone,District_D,40,2025-04-18,17:40,Market,CP_4129,31.0604,75.854135,Paper,Magazine,362.4,1.13,7.15,96.26,66.88,34.8,16.36,10.4,2.35,2.5,5.49,37.29,69.51,33.59,221,3,96.39,Yes,Compactor Truck,8243,44.54,97,23.07,High,Composting Facility,61.17,41.96,24.77,35.6,75.78,1.44,11.61,65.76,9.68,High,Energy Recovery
SWM_100012,Central Zone,District_F,7,2025-05-09,17:46,Industrial,CP_5157,32.808357,88.406078,Metal,Aluminum,389.86,1.35,46.79,47.35,13.86,21.69,15.94,36.95,9.53,0.45,3.75,34.9,57.74,102.78,340,5,72.7,Yes,Dump Truck,11513,10.61,127,4.68,Moderate,Recycling Plant,64.24,2.65,58.58,94.02,57.55,38.82,64.33,296.62,67.75,Low,Composting
SWM_100013,Central Zone,District_E,41,2025-06-20,11:42,Residential,CP_1498,35.302479,79.196976,Mixed,General Waste,769.73,10.88,21.64,6.94,8.06,0.91,3.78,40.98,1.07,3.19,8.45,18.63,81.09,33.82,341,8,29.45,No,Compactor Truck,8756,42.11,170,25.9,High,Recycling Plant,87.75,73.51,80.35,28.2,17.74,75.06,80.68,594.68,52.45,High,Energy Recovery
SWM_100014,North Zone,District_C,46,2025-05-31,00:52,Hospital,CP_3898,18.788524,90.515976,Paper,Cardboard,285.83,11.18,77.97,42.9,60.07,37.73,4.12,54.15,7.58,8.26,3.2,42.18,49.19,1.3,72,7,92.43,Yes,Mini Truck,8264,6.39,168,14.13,High,Recycling Plant,95.01,95.06,57.34,63.18,44.84,29.32,32.87,416.61,91.52,Medium,Landfill
